ANIO,MES,BARRIO,USO,ESTRATO,PROMEDIO,INMUEBLES
2018,06,Aguacate,Residencial,1,7.66,35
2017,06,Vereda Quiebra de Velez,Industrial,Industrial,9,2
2017,09,Bosques del Norte,Oficial,Oficial,51.83,6
2017,05,Vereda El Arenillo,Servicios Especiales,Servicios Especiales,93,1
2017,09,Chipre,Residencial,5,7.64,25
2016,07,Fanny Gonzalez,Residencial,2,13.05,646
2017,07,Betania,Comercial,Comercial,31.5,2
2016,10,La Isla,Residencial,1,11.22,114
2017,07,Vereda Alto Corinto,Residencial,3,12,1
2017,06,Vereda El Arenillo,Rural,5,19.61,23
2017,03,Vereda Hoyo Frio,Industrial,Industrial,444.67,3
2017,06,Vereda La Cabaña,Rural,5,13.7,37
2018,04,Vereda Cueva Santa,Rural,1,7.87,30
2017,09,Centenario,Comercial,Comercial,29.17,12
2018,05,Galan,Residencial,2,14,55
2017,11,Chipre,Residencial,1,20,3
2018,02,San Jorge,Servicios Especiales,Servicios Especiales,680,2
2018,03,Nuevo Horizontes,Residencial,2,7.33,3
2016,01,Arboretes,Residencial,5,15.5,2
2016,12,Cervantes,Industrial,Industrial,13,1
2018,05,Vereda Guacas,Rural,3,11.47,15
2018,07,Los Rosales,Oficial,Oficial,119.33,3
2017,07,La Cumbre,Comercial,Comercial,7.33,3
2016,04,Los Alcazares,Residencial,5,10.97,30
2018,01,Kennedy,Residencial,1,18.33,3
2018,05,La Carola,Suministro a Constru,Suministro a Constru,213.5,4
2016,01,Morrogacho,Comercial,Comercial,12.33,6
2017,04,Vereda La Pola,Rural,3,6.5,2
2016,11,Villapilar,Residencial,1,12.16,43
2017,05,La Sultana,Residencial,4,17.63,16
2016,06,Samaria,Oficial,Oficial,33,1
2016,12,Guamal,Residencial,3,10.5,1359
2018,04,Estrada,Residencial,2,16.86,7
2016,10,Vereda Alto Tablazo,Comercial,Comercial,30.6,5
2017,12,Sauces,Residencial,1,7.11,35
2017,01,Morrogacho,Rural,2,10.3,10
2018,06,Baja Suiza,Suministro a Constru,Suministro a Constru,1154,1
2018,01,La Isla,Oficial,Oficial,17.5,2
2016,04,Vereda Minitas,Rural,1,7.33,18
2016,07,La Isla,Residencial,1,12.06,114
2016,05,Prado,Residencial,3,11.21,222
2017,05,La Leonora,Servicios Especiales,Servicios Especiales,13.67,3
2018,03,Gonzalez,Residencial,1,10.18,66
2017,05,Vereda Mal Paso,Rural,2,11.2,5
2017,04,La Leonora,Residencial,3,14.8,88
2018,05,Estambul,Residencial,2,11.15,67
2017,09,Comuneros,Oficial,Oficial,41,1
2016,10,Camelia,Residencial,4,7.07,14
2016,11,Vereda San Peregrino,Industrial,Industrial,41.67,6
2017,12,El Bosque,Servicios Especiales,Servicios Especiales,46.75,4
2017,08,Vereda Quiebra de Velez,Residencial,1,2.5,4
2017,07,Los Rosales,Residencial,4,12.25,111
2017,02,Estambul,Residencial,2,11.73,66
2016,05,Fanny Gonzalez,Residencial,3,12.27,164
2017,04,El Sol,Residencial,6,5.1,39
2017,01,Vereda Cuchilla del Salado,Industrial,Industrial,0,1
2016,08,Vereda El Guineo,Rural,1,12,3
2018,04,Niño Jesus de Praga,Comercial,Comercial,10,2
2017,01,Vereda La Linda,Industrial,Industrial,79.5,2
2016,10,VillaHermosa - La Playa,Residencial,2,12.55,1699
2017,06,Cerros de la Alhambra,Suministro a Constru,Suministro a Constru,18,1
2016,09,Vereda El Chuzo,Rural,2,4.21,24
2016,11,Vereda La Linda,Residencial,1,9.17,6
2017,02,Vereda La Cabaña,Rural,4,13.13,54
2016,03,Vereda Morrogordo,Rural,1,15,8
2017,06,La Carola,Suministro a Constru,Suministro a Constru,630,4
2017,09,Tejares,Residencial,6,13.48,126
2016,07,Bella Montaña (Hosp G. - Esc),Suministro a Constru,Suministro a Constru,22,1
2017,01,Colseguros,Oficial,Oficial,59,1
2017,08,Vereda Alto Corinto,Residencial,2,10.21,112
2018,07,La Avanzada,Comercial,Comercial,9,1
2017,10,San Antonio,Residencial,2,83,1
2016,06,Vereda Alto del Naranjo,Industrial,Industrial,31.5,6
2017,11,Villa Café Etapas I - II,Residencial,3,10.25,457
2018,05,Vereda Cueva Santa,Oficial,Oficial,13,1
2017,05,Aranjuez,Residencial,2,11.75,72
2017,10,Vereda Java,Rural,1,11.18,11
2018,06,Vereda La China,Rural,5,15.5,2
2017,02,Vereda Minitas,Comercial,Comercial,32,1
2017,05,San Antonio,Oficial,Oficial,164.83,6
2016,05,El Bosque,Residencial,4,12.82,97
2016,01,Vereda La Argelia,Oficial,Oficial,12,1
2016,01,Baja Leonora,Residencial,4,3,1
2016,09,San Ignacio,Residencial,3,16.29,7
2016,01,Fundadores,Residencial,2,11,1
2016,05,Estambul,Rural,2,15.75,32
2016,12,Minitas,Residencial,2,18.52,93
2017,05,Baja Leonora,Residencial,4,3,1
2016,11,CampoHermoso (Univ. Mzles),Industrial,Industrial,0,1
2017,01,Colombia,Residencial,4,10.19,32
2017,11,Vereda La Palma,Oficial,Oficial,574.5,2
2016,11,La Enea,Industrial,Industrial,561.13,8
2017,09,Minitas,Residencial,2,18.71,93
2017,06,Fanny Gonzalez,Oficial,Oficial,17,2
2017,12,La Enea,Residencial,3,12.31,3894
2018,02,Bajo Persia,Residencial,2,0,1
2017,02,Vereda La Argelia,Industrial,Industrial,10,1
2016,01,VillaCarmenza,Residencial,4,8.05,599
2016,01,Vereda La Palma,Oficial,Oficial,1042.5,2
2017,11,Vereda La Linda,Industrial,Industrial,56.5,2
2016,07,Colombia,Residencial,3,12.77,429
2016,05,Vereda San Peregrino,Comercial,Comercial,15,1
2017,01,Chachafruto,Residencial,5,8,1
2016,11,La Cumbre,Residencial,1,24,1
2016,03,Colon,Oficial,Oficial,125.67,3
2016,06,CampoHermoso (Univ. Mzles),Comercial,Comercial,20.4,145
2017,08,Fundadores,Oficial,Oficial,148.7,10
2018,05,Vereda Alto del Zarzo,Oficial,Oficial,19,1
2016,04,Vereda Alto Tablazo,Rural,1,10.65,20
2017,03,Guayacanes,Servicios Especiales,Servicios Especiales,7.46,24
2016,11,El Campin,Residencial,2,19.8,5
2018,02,Guayacanes,Oficial,Oficial,78,1
2018,05,Versalles,Servicios Especiales,Servicios Especiales,162.16,25
2018,01,Vereda El Guineo,Industrial,Industrial,2,1
2018,04,CampoHermoso (Univ. Mzles),Oficial,Oficial,37.5,4
2016,04,Vereda Bajo Corinto,Rural,1,8.5,2
2016,07,Los Alcazares,Comercial,Comercial,39.64,11
2016,09,Vereda La Linda,Rural,1,11.08,95
2017,10,Colombia,Servicios Especiales,Servicios Especiales,7.5,2
2017,09,Centro,Oficial,Oficial,40.13,68
2018,02,Vereda La Cabaña,Rural,1,4.87,106
2018,02,Uribe,Residencial,3,12.68,505
2017,07,Guamal,Residencial,4,13.07,61
2018,06,Los Alcazares,Comercial,Comercial,32.62,13
2017,09,Caserio La Enea,Residencial,4,8.63,35
2017,07,las Colinas,Comercial,Comercial,53,11
2016,04,Nevado,Residencial,3,23,1
2016,02,Alhambra,Residencial,2,38,2
2016,03,Betania,Servicios Especiales,Servicios Especiales,15,1
2018,06,Vereda Java,Oficial,Oficial,46,1
2018,03,CampoHermoso (Univ. Mzles),Suministro a Constru,Suministro a Constru,23.5,2
2016,11,La Argentina,Servicios Especiales,Servicios Especiales,15.5,2
2017,05,La Florida,Comercial,Comercial,153.5,4
2017,11,Lusitania,Residencial,3,10.78,305
2016,06,Nuevo Horizontes,Residencial,2,8,2
2018,02,La Enea,Industrial,Industrial,467.88,8
2017,05,Velez,Oficial,Oficial,372,1
2017,04,Peralonso,Comercial,Comercial,20.33,3
2016,06,Campamento,Residencial,1,3,1
2016,02,San Jorge,Residencial,1,61,1
2016,04,Villapilar,Comercial,Comercial,15.92,25
2016,12,Vereda Java,Oficial,Oficial,38,1
2016,03,Alta Suiza,Residencial,1,2.33,6
2018,06,La Cumbre,Residencial,3,8.63,736
2016,09,Nevado,Residencial,2,12.93,716
2017,07,Alta Suiza,Suministro a Constru,Suministro a Constru,10,1
2016,10,Sauces,Residencial,1,8.05,37
2017,03,El Sol,Suministro a Constru,Suministro a Constru,0,1
2017,09,Alhambra,Residencial,4,65,1
2018,01,La Enea,Residencial,1,15.06,17
2018,03,Vereda San Peregrino,Suministro a Constru,Suministro a Constru,3,3
2017,11,El Trebol,Residencial,1,35,2
2017,02,Arboleda,Residencial,1,16,1
2018,02,La Enea,Suministro a Constru,Suministro a Constru,367,2
2017,11,Lleras,Servicios Especiales,Servicios Especiales,45.6,5
2016,03,Las Americas,Suministro a Constru,Suministro a Constru,2,1
2016,02,Ciudadela La Linda,Residencial,3,7,7
2018,02,Sauces,Residencial,1,6.61,36
2016,04,CampoAmor,Residencial,2,15.2,81
2018,05,Vereda Agua Bonita,Rural,1,12.15,26
2017,01,Vereda Guacas,Rural,3,15.07,15
2018,06,Vereda Manzanares,Rural,3,6.75,4
2017,04,Vereda Farallones,Oficial,Oficial,23,1
2016,04,Palogrande,Comercial,Comercial,12.91,209
2016,07,Vereda Cueva Santa,Rural,2,11.06,16
2017,05,Vereda La Siria,Rural,4,7.5,2
2016,06,Colseguros,Servicios Especiales,Servicios Especiales,14.67,3
2016,01,Vereda Alto del Zarzo,Rural,1,8.6,5
2016,08,Los Alcazares,Residencial,1,19,1
2017,07,Sacatin,Residencial,4,11.21,43
2018,05,Vereda San Peregrino,Rural,5,10.83,6
2016,10,La Carola,Servicios Especiales,Servicios Especiales,19,1
2017,07,Vereda Farallones,Rural,3,3,1
2016,05,Tejares,Comercial,Comercial,44,3
2017,07,Vereda Alto Corinto,Residencial,2,10.43,112
2016,11,Sauces,Residencial,1,8.24,37
2016,07,Vereda Bajo Tablazo,Servicios Especiales,Servicios Especiales,105.5,2
2017,01,Baja Leonora,Residencial,4,2,1
2016,02,Vereda Minitas,Servicios Especiales,Servicios Especiales,457,1
2017,08,Colon,Oficial,Oficial,246,3
2018,03,Vereda Cuchilla del Salado,Oficial,Oficial,22.8,5
2017,06,Vereda La Linda,Rural,5,8,1
2016,04,Vereda La Pola,Rural,2,14.78,9
2016,09,Vereda La Cabaña,Rural,5,11.29,35
2016,01,Vereda El Rosario,Comercial,Comercial,219.57,7
2016,06,Vereda Cueva Santa,Rural,1,7.28,29
2016,07,Vereda Cascarero,Rural,1,7,2
2017,06,Vereda La Linda,Oficial,Oficial,621,3
2017,07,Vereda La Manuela,Rural,3,24,1
2016,07,Minitas,Comercial,Comercial,23.23,13
2017,03,Alta Suiza,Suministro a Constru,Suministro a Constru,9,1
2016,05,La Argentina,Comercial,Comercial,15.71,45
2016,07,Los Cedros,Residencial,2,12.94,16
2016,01,Baja Leonora,Residencial,2,11,1
2017,08,Uribe,Oficial,Oficial,145,1
2016,03,Ciudadela La Linda,Residencial,2,10.32,924
2018,06,Jesus de la Buena Esperanza,Residencial,3,13.07,238
2017,10,Castellana,Comercial,Comercial,24.88,40
2017,02,Bosques de Niza,Comercial,Comercial,3.17,6
2018,01,Los Cedros,Residencial,4,1,1
2017,10,La Leonora,Suministro a Constru,Suministro a Constru,365,1
2016,02,Vereda San Peregrino,Residencial,4,8,1
2018,03,Los Rosales,Oficial,Oficial,112.25,4
2016,09,Eucaliptus,Residencial,1,16.76,55
2016,02,Vereda La Pola,Rural,3,4.5,2
2018,03,Pio XII,Residencial,2,13.15,515
2016,08,Nevado,Comercial,Comercial,7.88,16
2017,03,San Sebastian (I - II Etapa),Residencial,2,6,3
2016,01,Vereda Bajo Tablazo,Rural,5,0,1
2017,06,Vereda La Trinidad,Residencial,2,1,1
2018,04,Puerta del Sol,Residencial,1,6.96,294
2017,12,Milan,Residencial,5,8.79,611
2018,03,Tejares,Residencial,6,12.54,126
2017,05,Vereda Morrogordo,Rural,1,9.36,14
2018,03,Vereda La Cabaña,Rural,5,19.16,37
2018,03,Santa Helena - Conjunto La Estacion,Residencial,2,9,6
2016,03,El Campin,Comercial,Comercial,13.83,6
2017,03,Fatima,Residencial,2,12.92,159
2016,10,San Cayetano,Comercial,Comercial,86.25,4
2017,08,20 de julio,Residencial,2,15.98,164
2017,02,Vereda La Trinidad,Residencial,4,5.33,3
2016,06,Ciudadela La Linda,Oficial,Oficial,82,2
2018,01,El Bosque,Servicios Especiales,Servicios Especiales,20.25,4
2018,03,CampoAmor,Residencial,3,13.35,1175
2016,09,Vereda La Cabaña,Rural,1,6.49,103
2016,08,las Colinas,Residencial,2,13.39,443
2018,02,Baja Suiza,Comercial,Comercial,32.33,3
2016,11,La Cumbre,Residencial,3,8.94,668
2017,06,Vereda La China,Comercial,Comercial,14,1
2017,11,Baja Suiza,Oficial,Oficial,83,1
2017,04,Chipre,Comercial,Comercial,14.44,117
2016,12,El Trebol,Residencial,2,18.5,2
2017,02,Velez,Comercial,Comercial,9.82,51
2016,06,Arboleda,Servicios Especiales,Servicios Especiales,89.86,7
2017,09,Aranjuez,Residencial,3,10.98,857
2017,06,Villa Julia,Residencial,2,11.72,111
2017,03,Vereda El Aventino,Servicios Especiales,Servicios Especiales,75,1
2016,10,La Asuncion,Residencial,3,12.37,704
2016,09,Laureles,Residencial,6,7.25,193
2018,05,Villa Julia,Residencial,2,12.6,115
2017,09,Betania,Residencial,3,11.32,297
2016,08,Pio XII,Residencial,2,14.89,512
2017,08,Vereda La Palma,Comercial,Comercial,6.5,2
2018,03,La Rambla,Residencial,6,8.87,194
2016,02,Camilo Torres,Residencial,1,11,9
2017,12,Vereda Quiebra de Velez,Rural,4,21.75,4
2017,11,Vereda Bajo Tablazo,Rural,4,20.89,9
2017,05,Arboleda,Comercial,Comercial,12.51,43
2017,07,Vereda Santa Clara,Oficial,Oficial,45,1
2018,03,Centro,Residencial,6,9.8,15
2016,08,La Leonora,Residencial,5,10.93,448
2016,11,El Palmar,Residencial,4,5,1
2017,06,Vereda Alto del Zarzo,Oficial,Oficial,22,1
2016,07,Vereda El Arenillo,Rural,4,16.25,12
2017,03,Sinai,Residencial,1,7,2
2018,06,La Cumbre,Servicios Especiales,Servicios Especiales,5,1
2017,01,Vereda Bajo Tablazo,Industrial,Industrial,26.71,7
2018,07,Los Agustinos,Residencial,3,12.4,322
2016,07,Vereda Cascarero,Rural,2,4.5,2
2016,04,Panorama,Residencial,3,7.66,128
2016,12,Alhambra,Servicios Especiales,Servicios Especiales,1,1
2016,09,las Colinas,Suministro a Constru,Suministro a Constru,4,1
2016,04,San Antonio,Comercial,Comercial,11.66,128
2017,10,Cerros de la Alhambra,Suministro a Constru,Suministro a Constru,14,1
2016,05,Vereda Cuchilla del Salado,Oficial,Oficial,19.2,5
2017,05,Los Agustinos,Comercial,Comercial,5,57
2017,06,Vereda Alto Corinto,Residencial,4,0,1
2018,06,Peralonso,Industrial,Industrial,4,1
2016,04,Betania,Oficial,Oficial,15,1
2018,06,La Florida,Comercial,Comercial,96.33,6
2017,10,Estrada,Residencial,2,17.33,6
2017,12,Zona Industrial,Residencial,4,7,2
2016,05,Velez,Oficial,Oficial,947,1
2016,04,Vereda Alto Corinto,Residencial,2,9.74,107
2016,07,Alta Suiza,Residencial,2,6.54,41
2016,12,Urbanizacion Santos,Residencial,3,6.5,14
2016,10,Estambul,Rural,2,17,32
2017,01,San Jose,Residencial,1,22,1
2016,03,Vereda Quiebra de Velez,Oficial,Oficial,35,1
2017,04,Persia,Residencial,2,3.5,301
2017,12,Vereda Guacas,Oficial,Oficial,4.5,2
2018,01,La Enea,Residencial,3,11.81,3896
2017,10,Vereda Hoyo Frio,Oficial,Oficial,14,1
2016,10,Vereda La Pola,Industrial,Industrial,40,4
2017,03,Villapilar,Oficial,Oficial,2287,2
2016,04,Fatima,Comercial,Comercial,19.93,29
2017,05,Cervantes,Comercial,Comercial,14.47,17
2016,12,Vereda La China,Comercial,Comercial,20,1
2016,03,Alta Suiza,Oficial,Oficial,24.5,4
2017,01,Villapilar,Residencial,2,18.18,17
2017,05,Vereda La Trinidad,Rural,1,14.71,17
2016,08,Versalles,Residencial,5,9.87,384
2017,06,Vereda Bajo Tablazo,Rural,3,14.49,74
2016,01,Alta Suiza,Industrial,Industrial,2122.88,8
2016,02,Vereda Santa Clara,Oficial,Oficial,18,1
2016,03,Vereda Bajo Tablazo,Rural,1,15.88,90
2016,01,Camilo Torres,Residencial,2,14.1,374
2016,02,Vereda Morrogacho,Rural,1,13.85,26
2018,03,SanCancio,Residencial,6,11.02,2011
2017,03,Colseguros,Oficial,Oficial,88,1
2016,07,Tejares,Suministro a Constru,Suministro a Constru,0,1
2017,07,Bella Montaña (Hosp G. - Esc),Residencial,2,11.33,3
2017,08,Vereda Manzanares,Rural,4,0.5,2
2016,01,El Porvenir,Residencial,1,13,1
2016,10,Vereda La Violeta,Rural,2,12.5,6
2018,02,La Rambla,Servicios Especiales,Servicios Especiales,84.56,9
2016,02,San Ignacio,Residencial,3,17.86,7
2018,05,La Asuncion,Residencial,2,12.09,22
2018,03,Villa Julia,Oficial,Oficial,0,1
2017,08,Bengala,Comercial,Comercial,7,1
2016,11,Villapilar,Residencial,3,7.27,484
2017,08,Vereda Cueva Santa,Rural,1,8.47,30
2018,06,Vereda Cueva Santa,Oficial,Oficial,24,1
2018,01,Vereda La Linda,Rural,4,16,7
2016,09,Alhambra,Comercial,Comercial,108.5,2
2017,07,Vereda Morrogordo,Rural,3,8.5,2
2016,02,Sacatin,Residencial,1,13.24,116
2018,04,Altos de Capri,Residencial,3,4.68,142
2017,08,Los Rosales,Oficial,Oficial,121.33,3
2017,06,Vereda Bajo Tablazo,Comercial,Comercial,32.82,11
2018,07,La Francia,Comercial,Comercial,15.67,3
2018,05,Chachafruto,Residencial,1,11.64,42
2016,06,Palogrande,Residencial,5,6.5,24
2016,07,Aranjuez,Servicios Especiales,Servicios Especiales,2,2
2017,04,El Bosque,Comercial,Comercial,10.85,179
2017,05,Vereda Cueva Santa,Rural,4,0,1
2016,09,Vereda Java,Oficial,Oficial,53,1
2018,03,Minitas,Industrial,Industrial,10,1
2016,01,Vereda Farallones,Rural,1,6.28,18
2018,01,Vereda Guacas,Rural,3,12.53,15
2016,07,Palogrande,Oficial,Oficial,152.17,24
2017,08,Vereda Quiebra de Velez,Rural,3,12.25,4
2017,12,San Ignacio,Residencial,2,15.43,167
2017,04,MalHabar,Comercial,Comercial,9.14,7
2016,01,El Trebol,Comercial,Comercial,19.22,9
2016,08,Sacatin,Residencial,1,12.93,118
2016,05,Vereda La Pola,Rural,1,15.19,42
2016,06,Vereda Bajo Tablazo,Rural,4,12.89,9
2016,09,Las Americas,Residencial,3,13.63,1383
2017,10,San Jose,Servicios Especiales,Servicios Especiales,11,3
2016,10,Persia,Comercial,Comercial,2.33,3
2018,03,La Leonora,Residencial,4,11.54,362
2016,04,Vereda Java,Oficial,Oficial,58,1
2016,04,La Leonora,Residencial,4,12.85,361
2017,01,Versalles,Residencial,4,12.24,287
2016,03,Vereda La Trinidad,Industrial,Industrial,22,5
2018,02,Vereda La Trinidad,Oficial,Oficial,608,1
2018,02,Santa Helena - Conjunto La Estacion,Residencial,6,3,1
2016,01,Vereda La Linda,Servicios Especiales,Servicios Especiales,54.5,2
2017,10,PaloNegro,Servicios Especiales,Servicios Especiales,0,1
2018,03,Baja Suiza,Suministro a Constru,Suministro a Constru,723,1
2016,12,San Antonio,Servicios Especiales,Servicios Especiales,22,4
2016,04,San Jorge,Residencial,4,13.48,435
2018,05,Vereda La Pola,Rural,2,9.56,9
2017,04,Sinai,Oficial,Oficial,19,2
2017,09,Aranjuez,Industrial,Industrial,7.5,2
2016,01,Villa del Rio,Residencial,3,8,1
2018,01,Vereda La Francia,Rural,1,11.25,12
2017,12,La Carola,Residencial,2,13.77,382
2016,07,Villa Café Etapas I - II,Residencial,3,9.96,455
2017,09,San Cayetano,Residencial,1,8,11
2016,05,VillaCarmenza,Residencial,4,7.84,599
2016,12,Kennedy,Comercial,Comercial,7.6,5
2018,07,San Antonio,Residencial,2,81,1
2018,03,SanCancio,Oficial,Oficial,5,1
2017,12,Olivares,Residencial,1,0,2
2016,03,El Porvenir,Residencial,1,11,1
2016,06,Vereda La Argelia,Rural,1,11.67,30
2017,11,Vereda La Argelia,Oficial,Oficial,7,1
2017,02,Guamal,Servicios Especiales,Servicios Especiales,9,1
2017,12,Palermo,Comercial,Comercial,18,32
2017,01,MalHabar,Residencial,1,14.5,2
2016,09,Vereda La China,Rural,5,44,2
2017,03,Vereda Java,Oficial,Oficial,31,1
2016,08,Samaria,Oficial,Oficial,15,1
2016,08,El encuentro,Residencial,3,43.5,2
2017,05,Residencias Manizales,Residencial,2,22,1
2017,08,La Estrella,Oficial,Oficial,179.75,4
2018,06,La Carola,Suministro a Constru,Suministro a Constru,524.75,4
2016,06,Vereda El Aventino,Rural,4,10.67,3
2016,12,La Francia,Servicios Especiales,Servicios Especiales,31.75,4
2018,01,Vereda Manzanares,Industrial,Industrial,12.71,7
2017,07,Centenario,Residencial,1,14.54,82
2018,06,Estrada,Comercial,Comercial,183.5,2
2016,06,Vereda Java,Rural,4,11.5,2
2017,02,Cervantes,Oficial,Oficial,36.67,3
2016,02,Vereda Bajo Corinto,Rural,2,12,1
2016,07,Las Americas,Residencial,3,13.91,1382
2017,06,Vivienda Popular,Comercial,Comercial,3,1
2018,06,La Enea,Residencial,2,13.41,119
2016,06,Santa Helena - Conjunto La Estacion,Servicios Especiales,Servicios Especiales,91,5
2016,07,Alhambra,Servicios Especiales,Servicios Especiales,0,1
2017,12,San Marcel,Suministro a Constru,Suministro a Constru,33,2
2017,05,Lleras,Residencial,6,7.57,84
2016,08,Lleras,Residencial,3,12.63,213
2017,03,Lleras,Residencial,4,11.6,264
2016,04,Vereda La Argelia,Rural,2,10.17,24
2016,05,Fundadores,Residencial,5,11.45,11
2017,01,Arboleda,Residencial,1,1,1
2017,06,San Ignacio,Residencial,3,17.43,7
2017,07,San Jorge,Residencial,3,11.55,572
