ANIO,ESTRATO,PROMEDIO
2016,4,12.85
2017,4,12.24
2018,6,3
2016,4,13.48
2018,2,9.56
2016,3,8
2018,1,11.25
2017,2,13.77
2016,3,9.96
2017,1,8
2016,4,7.84
2018,2,81
2016,1,11
2016,1,11.67
2017,1,14.5
2016,5,44
2016,3,43.5
2017,2,22
2016,4,10.67
2017,1,14.54
2016,4,11.5
2016,2,12
2016,3,13.91
2018,2,13.41
2017,6,7.57
2016,3,12.63
2017,4,11.6
2016,2,10.17
2016,5,11.45
2017,1,1
2017,3,17.43
2017,3,11.55
2018,4,13.72
2017,2,10.5
2016,2,11.04
2016,1,8.25
2016,3,12
2018,4,11.18
2018,1,10.92
2016,2,9.05
2016,4,35.5
2016,3,3.17
2017,2,12.6
2017,2,6
2017,2,16.11
2017,2,19.12
2017,2,13.59
2017,3,12.57
2017,4,9.1
2016,4,19.5
2018,6,8.13
2018,1,4.5
2016,1,16.86
2016,5,31.67
2016,1,5.33
2017,3,7.74
2017,1,2.75
2016,2,11.58
2016,3,12.5
2016,2,15.68
2017,1,11.19
2016,2,9.82
2017,2,13.71
2017,4,10.79
2017,1,18.67
2016,4,7.57
2018,4,11.72
2018,3,12
2016,2,7.17
2016,1,19
2017,2,14.25
2016,4,14.15
2018,4,17
2018,1,12.65
2018,3,15.93
2017,2,10.38
2016,2,24.5
2016,6,8.25
2018,4,7.5
2017,4,10.02
2016,1,9.8
2017,3,11.88
2017,2,12.31
2017,3,15.22
2017,1,4
2016,1,4
2018,1,6.4
2017,2,12.94
2017,4,10.19
2016,2,5.39
2016,1,6
2016,1,5.74
2016,6,14.68
2017,3,13.32
2018,1,15.08
2017,1,10.13
2017,3,10.5
2018,4,9
2018,4,9.5
2016,2,13.9
2017,3,1
2016,5,7.06
2018,3,7
2018,4,71
2016,5,8
2016,1,6.33
2017,2,38
2017,6,10.6
2018,5,4
2016,2,9.3
2017,2,16.04
2017,4,17
2018,4,12.08
2018,2,10.5
2017,1,10.27
2017,1,6
2016,5,17.97
2018,1,20.67
2018,2,13.56
2017,4,11.14
2016,2,12.71
2017,4,10.18
2016,1,7
2016,4,8.67
2017,3,5.33
2016,4,13.5
2018,3,4
2017,6,20.27
2017,2,16
2016,2,18
2018,3,12.89
2017,3,8
2016,1,6.05
2016,6,10.28
2017,3,10.14
2016,2,13.98
2018,2,19.63
2018,1,3.4
2018,5,21
2016,1,14.41
2017,3,15.27
2016,2,12.43
2016,2,22
2017,4,17
2017,1,8
2016,2,9.31
2016,4,5
2016,5,10.52
2017,2,9.21
2016,2,13.56
2016,6,5.69
2017,2,15.8
2016,3,14.17
2017,4,225
2016,2,9.77
2016,3,25
2017,2,16.32
2018,2,13.01
2016,6,12.9
2016,1,5.67
2017,6,11.05
2018,4,13.2
2018,2,9
2017,1,16
2017,3,16.24
2017,5,11.77
2016,4,11
2018,3,15.84
2017,1,11.81
2018,4,4
2017,2,7.57
2018,1,7.07
2016,3,14.71
2018,3,16.27
2017,2,12.1
2016,4,7
2016,3,12.7
2016,3,19.1
2018,6,10.9
2017,2,11.73
2016,2,3.5
2016,2,21.79
2018,6,4.74
2017,3,5.36
2017,2,5
2016,4,4.79
2016,1,17
2018,3,49.5
2016,2,11.43
2017,3,11.39
2016,1,16.03
2016,2,8.33
2017,5,7.76
2017,4,13.64
2016,3,4
2018,6,6.65
2016,1,11.88
2018,2,11.06
2017,2,10.59
2016,1,10.8
2017,6,84.25
2016,2,3.5
2016,1,13
2018,3,7.23
2018,5,6.15
2016,1,13.73
2016,3,15.87
2018,1,3.67
2017,5,20.23
2016,2,6
2016,4,4
2018,2,25.5
2016,3,15
2017,4,10
2016,1,15.71
2016,4,17.82
2016,5,7.08
2016,3,11.45
2017,1,11.33
2017,3,3
2016,3,13.68
2018,1,7.86
2018,2,11.67
2017,2,11.33
2018,4,252
2016,5,10.48
2018,5,12.58
2018,1,12
2017,3,13.76
2016,3,12.95
2016,2,15.61
2016,3,6.09
2017,4,8.76
2017,3,14
2016,4,14.04
2016,2,6.83
2016,2,3
2018,3,18.5
2017,3,4.5
2018,2,10.1
2017,3,14.69
2016,2,13.79
2016,2,5
2018,2,8
2016,3,14.33
2017,4,1
2017,1,13
2016,2,10.16
2018,2,5.33
2016,6,12.93
2018,1,11.27
2017,4,6
2017,1,8.4
2017,1,16
2017,5,5
2016,2,2.5
2017,2,48
2017,2,12.47
2016,2,14.67
2018,1,11.53
2018,2,12
2017,1,15.5
2017,4,7.83
2016,2,6
2016,1,9.21
2017,2,16.04
2016,6,19
2018,1,9.17
2017,3,13.82
2017,5,9.44
2016,4,11.48
2016,3,13.56
2017,2,9.71
2017,3,8.6
2016,1,8
2016,3,13.98
2016,1,61
2018,2,13.53
2017,6,15.78
2017,3,10.84
2018,4,7.91
2016,2,15.31
2018,6,11.21
2017,1,10.69
2017,1,15
2017,2,9.5
2017,5,7.72
2017,2,21
2017,1,22
2016,1,11.11
2017,1,7.83
2018,3,14.46
2016,2,13.85
2016,5,11.17
2017,4,14.31
2016,3,10.95
2016,6,35
2018,1,14.23
2018,2,13.03
2018,3,12.44
2018,1,35.5
2016,2,15.33
2016,3,10.85
2018,5,12.11
2016,2,34.5
2017,3,7.29
2016,1,8.96
2018,3,16
2016,1,10.51
2017,3,2
2018,3,48
2016,6,10
2016,3,14.33
2018,3,4.5
2016,3,9.67
2016,1,6
2016,2,6.92
2016,2,14.04
2018,1,6.4
2017,2,5.5
2017,3,11.96
2016,3,4.42
2018,6,7.27
2018,1,10.41
2018,4,12.16
2016,3,4
2017,1,12
2016,3,12.38
2016,3,18.86
2016,1,6.31
2016,3,1
2016,2,10.26
2017,1,5.95
2017,5,16.4
2018,2,15.13
2016,2,15.14
2016,5,9.56
2017,4,7.89
2017,4,10.57
2016,5,5
2017,4,1
2016,4,7.5
2018,3,6.85
2016,5,7.4
2017,4,10
2016,4,10.23
2017,4,16.24
2017,3,23
2017,3,9.92
2017,1,8.64
2016,2,15.15
2016,3,5
2017,2,10.4
2017,2,10.36
2016,2,19
2017,2,12.92
2016,1,14.76
2018,2,11.1
2018,4,25.5
2018,2,38
2016,3,12.96
2016,6,15.02
2016,4,11.31
2016,1,10.39
2017,2,3
2016,5,7.29
2016,3,15.88
2016,2,18.78
2017,4,13.28
2016,2,15.43
2018,4,10.75
2018,3,2
2016,2,12
2016,4,9.66
2017,2,11.02
2016,3,12.88
2018,3,7.97
2016,1,8
2016,4,10.47
2018,5,18.57
2016,1,10.33
2016,1,9.39
2017,4,10
2017,2,11.42
2017,3,13.29
2016,3,11.8
2016,4,12.46
2016,2,18.76
2018,3,5
2016,3,10.77
2017,1,15.5
2016,2,11
2017,4,12.31
2016,1,14.39
2016,3,11.81
2017,2,15.37
2018,6,18
2018,2,18
2016,1,12
2017,1,27
2018,3,8.67
2016,5,14.8
2016,2,15.81
2017,3,8.56
2016,2,12.67
2017,2,8.5
2016,5,11.6
2016,3,12.91
2016,1,7.44
2018,1,14.49
2016,4,10.45
2016,4,13.57
2018,5,8.79
2018,6,7.65
2016,4,225
2017,4,1
2016,2,18.67
2017,1,13.03
2017,4,6
2017,1,11.89
2016,2,16.2
2016,2,12.1
2017,2,10.39
2018,2,6.67
2018,4,2
2017,3,13.8
2017,4,13.18
2018,3,8.7
2016,2,18.11
2017,3,12.9
2016,2,22.8
2016,4,10.83
2016,3,12.63
2018,1,37.5
2016,5,5
2017,4,8.7
2017,1,8
2016,3,13.92
2017,1,3
2017,2,13.38
2016,4,246
2017,2,9.02
2016,6,13.48
2017,1,10.22
2016,3,10.85
2018,4,11.25
2018,1,46.36
2016,3,12.68
2016,3,10.81
2017,2,22
2017,2,7
2017,3,4.91
2017,3,12.87
2018,3,8.93
2018,2,15.92
2018,2,16.03
2017,6,15.88
2016,2,19.56
2016,1,5.33
2017,6,18.29
2016,4,18
2018,2,13.67
2017,6,16
2018,4,10.42
2018,3,19
2017,2,9.5
2016,1,13
2018,1,22
2018,1,7.79
2016,3,15.07
2016,6,7.8
2017,3,15.81
2016,3,9
2016,3,13.31
2017,5,7.74
2017,2,14
2016,5,15.45
2017,5,19.5
2017,4,10.75
2017,3,10.41
2016,1,16.33
2016,2,12
2016,2,15.44
2016,2,14.5
2017,2,10.73
2016,2,11.38
2018,5,9.18
2016,1,16.5
2016,1,17.8
2016,6,8.79
2018,1,10.68
2016,1,11.31
2017,1,13.75
2016,4,74
2016,3,13.5
2016,3,13.71
2016,3,4
2018,3,6
2017,5,9.9
2016,2,9.62
2018,1,12
2016,1,11
2016,6,14.04
2016,6,11.16
2018,5,26.71
2018,2,14.55
2018,5,10.08
2016,6,11.91
2017,2,11.36
2017,4,9.88
2016,4,10.38
2017,2,4
2016,3,10.96
2018,5,5
2017,3,13.54
2017,2,12.91
2016,2,18.8
2018,5,18
2017,2,18
2016,2,3
2016,1,14.57
2017,1,10.11
2016,4,10.23
2016,3,13.88
2016,4,10.41
2017,4,10.69
2016,1,6.78
2017,2,11.5
2016,1,8.33
2018,2,19.24
2018,3,9
2016,2,5
2016,1,75
2017,4,14.57
2016,2,18.28
2018,5,11.58
2018,5,11.36
2017,2,8.18
2017,1,13.88
2017,2,12.99
2017,5,14.51
2016,3,5.67
2018,4,9.14
2018,2,11.15
2016,4,7.02
2016,2,13.97
2016,3,9.8
2017,1,14.89
2017,3,11.44
2017,1,14.4
2016,4,2
2018,1,8.89
2018,1,7.09
2018,2,12.35
2018,1,61
2017,2,13.39
2016,5,9.53
2016,3,13.22
2016,4,1
2018,2,9
2016,2,43
2017,2,23.67
2016,1,14.67
2017,2,12.6
2016,4,10.36
2017,4,8.03
2016,2,12.4
2017,2,10.42
2018,1,7.15
2017,1,2.33
2017,2,7.5
2017,5,16.5
2016,2,13.35
2016,1,11.56
2016,6,10
2016,1,13.11
2017,4,11.95
2017,3,10.5
2017,1,22.33
2017,1,7.48
2017,6,7.12
2018,2,13.71
2017,4,11.52
2017,1,21
2017,4,10
2018,4,48.67
2018,2,15.25
2016,3,16.59
2016,5,9.76
2017,4,13.1
2017,6,12.96
2018,2,9
2016,1,9.64
2016,1,10.06
2018,2,16.14
2016,2,4.57
2016,2,11.49
2016,2,12.65
2017,3,14.46
2016,4,43
2018,2,15.09
2018,2,7.5
2016,1,9.05
2016,2,14.15
2016,1,6.17
2018,1,5.61
2016,3,15.8
2016,3,6
2017,2,7
2018,4,10
2016,2,16.83
2016,3,12.12
2016,4,20.17
2018,3,10.71
2017,4,10.43
2017,3,12.14
2016,2,11.68
2016,4,15.25
2016,6,7.73
2016,2,13.3
2017,5,34
2018,1,32.5
2016,3,12.59
2017,4,7.75
2018,5,8.7
2017,4,10.87
2018,2,13.99
2016,4,6
2018,5,8.83
2016,1,11.63
2018,4,7.36
2016,2,8.71
2016,3,13
2016,3,15.12
2016,2,10
2017,1,41.5
2017,2,3
2017,3,12.7
2016,3,11.22
2017,5,8.76
2017,1,2.83
2017,6,10.91
2018,1,14
2017,3,14.19
2016,1,12.11
2018,2,13.07
2018,6,119.33
2018,2,16.03
2016,1,7
2017,3,14.17
2017,3,6.58
2018,4,11.98
2017,1,12.88
2016,1,11.32
2018,1,2.33
2016,4,12
2016,3,8.73
2016,3,14.06
2017,2,9
2016,1,11.97
2016,3,9.24
2018,6,9.8
2017,1,8.52
2016,5,11.89
2017,1,6.5
2016,2,14.16
2017,1,4.56
2017,3,13.22
2017,2,5.63
2018,2,10.44
2018,2,14.01
2017,5,15.4
2017,1,13
2017,1,12.19
2017,5,10.32
2016,3,25
2017,1,14.67
2017,4,10.74
2017,5,7.47
2016,5,11.7
2016,3,20.54
2018,5,9.45
2016,1,60
2016,4,12.66
2017,3,14.63
2017,3,9.85
2017,6,10.74
2018,1,6.33
2017,2,10.08
2017,4,7.67
2017,1,14.79
2016,1,12
2016,5,8
2017,6,12.81
2016,1,12.81
2018,5,9.45
2018,3,8.94
2017,3,11.02
2017,5,8.94
2017,2,3
2018,4,13.76
2016,3,15.82
2016,2,12
2018,2,12.98
2017,5,10
2018,3,10.57
2017,3,15.05
2017,3,13.71
2017,4,11.5
2017,5,9.36
2016,2,13.49
2017,2,12.98
2018,2,12
2018,2,4
2016,3,10.16
2016,3,9.05
2016,6,9.02
2017,6,11.24
2017,2,25
2016,5,20.21
2017,5,8.6
2018,5,8.25
2016,6,7.92
2017,1,13
2017,3,12.9
2016,2,15.95
2016,1,11.53
2016,2,11.15
2016,3,9.73
2017,3,10.14
2017,1,12.5
2017,3,0.2
2017,3,8.29
2016,2,26
2017,2,15
2017,2,16.3
2018,3,7.52
2017,3,12.74
2018,3,9.63
2018,4,7.71
2017,2,16.13
2016,3,14.58
2016,1,8.74
2018,1,10.82
2018,4,9.38
2016,1,14.2
2017,3,40
2018,2,4
2016,1,12.21
2017,2,4
2016,3,15.88
2018,6,7.35
2016,5,28
2017,3,14.09
2017,2,10.83
2016,3,9.5
2016,2,21
2016,2,16.52
2016,2,12.47
2018,2,13.98
2018,3,11.7
2016,5,12.73
2016,2,15.43
2016,2,11.92
2017,1,5.31
2016,2,15.73
2016,6,16.79
2017,4,10
2017,1,8.79
2016,1,14.85
2017,4,23
2018,4,7.72
2017,5,11.4
2018,6,7.81
2016,2,9.24
2018,1,8.3
2017,6,25.21
2016,2,24.5
2018,4,17.63
2017,2,14.27
2017,4,15
2016,2,36
2017,3,11.78
2017,3,63.75
2016,3,16.84
2016,2,13.32
2017,6,19.48
2017,1,7.5
2017,1,8.1
2018,5,10.33
2016,4,16
2017,5,7.38
2016,2,27.72
2018,2,11.53
2017,2,3
2016,2,9.33
2017,1,55
2017,4,11.63
2017,2,21.5
2018,5,11
2018,4,10.14
2016,3,8
2017,4,29.5
2016,4,16
2016,3,5.67
2018,6,19.81
2017,2,12.95
2016,3,12.39
2017,1,11.8
2016,1,12.45
2018,2,17.86
2017,1,11.34
2016,1,3
2016,4,17.27
2018,1,7.9
2016,1,4
2016,4,5
2017,3,8.48
2017,1,10.41
2018,3,14.71
2018,2,10.08
2017,3,61
2018,3,8.43
2017,4,11.51
2016,1,10.43
2018,2,22.8
2016,1,13.79
2016,4,17.02
2017,3,12.39
2017,5,9.32
2017,4,9.71
2017,5,23.83
2017,5,12.32
2018,4,16.92
2016,6,5.51
2017,3,13.02
2016,1,16.67
2017,4,15.11
2016,2,19.33
2018,2,15.18
2017,1,9.89
2018,2,10.62
2017,1,12.05
2018,4,11.75
2018,2,6
2016,2,7.5
2018,2,12.91
2016,3,16.1
2017,1,8.79
2017,3,8.02
2017,1,11.32
2017,2,12.84
2017,3,15.2
2017,1,13.3
2018,5,7.43
2018,4,12.2
2018,4,12.15
2016,3,19.34
2017,1,9.29
2017,1,15.02
2016,3,4
2017,2,2
2017,3,72.5
2016,2,14.09
2017,6,10.08
2017,4,2
2016,2,4.86
2017,2,17.11
2018,4,11.63
2016,3,12.83
2017,1,24
2018,2,10.03
2016,1,4
2016,1,9.99
2016,2,12.94
2016,2,17.77
2016,3,15.17
2017,3,2
2018,3,8
2016,2,10.33
2018,3,20.2
2016,6,9.52
2018,3,8.97
2016,3,18.17
2018,5,6.97
2018,2,7.75
2018,5,10.87
2017,2,7
2016,3,16.8
2016,1,5.36
2017,1,13.5
2016,5,31.29
2017,4,14.33
2018,1,2.13
2018,4,9
2016,6,11.6
2017,5,12.2
2016,5,23
2016,4,10.78
2018,3,14.62
2017,3,11.25
2017,2,10.43
2018,1,5.25
2016,3,10.73
2016,1,8.08
2016,4,58
2018,4,9.38
2017,6,27.7
2016,6,8.4
2017,4,6.95
2016,3,15.43
2016,2,14.32
2017,1,11
2017,4,11.51
2016,1,10.38
2016,6,13.18
2017,4,12.89
2017,1,18.8
2017,2,5.4
2016,4,12.2
2018,4,5
2017,2,14.86
2018,1,19.67
2017,1,12.01
2016,4,22
2017,2,11.4
2016,4,10.29
2016,2,15.31
2017,1,7.05
2017,3,32.25
2016,3,10.75
2017,1,5.25
2016,3,9.9
2016,1,9.5
2017,2,9.45
2017,4,7.25
2017,2,11.42
2017,4,15.8
2017,2,12.36
2017,1,16.5
2017,5,8.3
2016,1,11.62
2018,4,5.5
2017,3,12.96
2017,4,10.72
2017,2,12.36
2018,4,14.08
2016,1,3.4
2017,2,12.39
2017,3,9.69
2016,4,12.15
2016,3,12.38
2017,4,17.19
2017,2,11.25
2017,6,17.7
2016,1,14.75
2018,2,10.19
2017,4,8.17
2016,2,10.75
2016,2,8.43
2017,4,10.14
2016,2,8.5
2016,3,9.45
2017,2,14.4
2017,4,6.25
2016,1,22
2018,2,13.06
2018,1,8
2016,3,22
2018,3,14.1
2018,2,10.65
2017,6,11.87
2017,1,11.29
2017,3,3
2016,3,16.56
2017,4,12.68
2016,1,9.33
2016,2,12.06
2016,2,12.61
2018,3,11.68
2017,3,11.98
2017,1,12.6
2016,3,36.5
2017,3,5.33
2017,1,7.13
2018,3,13.72
2016,1,9
2016,1,10
2017,6,12.76
2016,3,43
2017,2,12.44
2017,4,9.76
2018,6,13.99
2016,1,10.78
2016,3,13.89
2017,4,10.24
2017,2,11.16
2018,5,10.07
2017,4,1
2018,1,11.09
2017,1,20
2017,3,12.26
2018,1,11.67
2017,2,11.97
2018,3,14.83
2016,2,14.92
2016,4,9
2018,2,11.45
2016,1,12.43
2018,2,10.5
2018,2,4.75
2016,5,11.36
2017,1,19.33
2016,2,6
2018,5,27.86
2017,3,16.13
2017,3,25
2017,5,7.23
2018,1,18.33
2016,5,6.93
2016,1,11.56
2017,6,11.02
2018,5,8.62
2016,5,7
2017,4,9
2016,2,11.95
2018,4,11.79
2016,2,14.15
2018,6,19.95
2016,2,16.21
2017,3,26
2016,2,4
2017,4,11.05
2016,1,15
2017,2,10.5
2016,1,4.95
2016,3,11.83
2018,3,7.01
2017,2,22
2018,1,14.29
2017,3,15.4
2018,4,11.65
2018,1,6.67
2017,3,12.87
2016,2,11.87
2016,3,8.5
2016,4,12.5
2018,5,9.58
2016,1,12.84
2016,1,9.67
2018,2,11.5
2016,1,16
2017,4,14.05
2018,2,11.96
2016,4,4.67
2018,2,11.55
2016,4,10.83
2016,3,9.39
2018,1,3.53
2017,6,14.78
2016,4,7.33
2016,1,14.5
2017,3,13.62
2016,5,4.44
2017,2,12.25
2016,2,12.5
2016,1,5
2016,3,12.68
2018,2,11.8
2018,1,10.2
2016,2,18.78
2017,4,12.5
2016,5,28
2016,2,16.11
2018,1,28
2017,2,3
2016,3,28
2017,5,7.17
2017,4,14.69
2016,4,9.33
2016,3,15.63
2017,1,13.5
2016,1,12.28
2016,1,10.52
2018,1,15
2018,6,12.97
2016,1,8.33
2017,2,15.78
2016,1,11.65
2016,4,12.59
2017,2,8.33
2016,4,11.87
2018,1,11.41
2017,3,7.81
2017,5,12.2
2017,2,7
2016,5,10
2016,2,9.5
2017,4,10.4
2017,3,4
2016,2,14.3
2018,5,13.19
2017,4,10.01
2017,3,13.28
2016,6,11.44
2017,4,12.46
2017,2,6.64
2016,3,18
2018,4,1
2018,3,9.69
2016,5,4
2017,2,15.31
2018,2,13.9
2017,1,21
2016,4,5
2016,5,14.83
2016,4,12.88
2017,3,27
2018,2,11.56
2016,4,9
2017,6,13.74
2018,6,8.01
2018,3,3
2017,2,13.12
2018,3,15.5
2016,2,14.61
2017,1,11.67
2016,2,8.45
2016,2,15.01
2018,3,7
2016,2,10.78
2018,1,9.9
2017,1,6.8
2017,1,8.07
2016,1,3.67
2016,6,13.25
2016,2,13
2017,2,2
2018,6,35
2016,4,7
2017,1,5.85
2018,4,25
2017,4,10.04
2016,1,14.18
2016,3,11.81
2016,4,10.84
2016,4,8
2016,1,8.88
2016,1,13.91
2016,5,8.67
2017,3,5
2016,4,13.84
2016,3,6.42
2017,1,18.64
2018,3,8
2016,1,11.64
2017,2,48
2017,5,8.59
2017,2,78
2017,3,9.1
2016,1,6
2018,3,12.35
2017,6,18
2017,2,12.82
2016,5,9.52
2018,1,12.5
2017,3,6
2017,2,12.83
2017,1,13.6
2017,2,17.98
2018,4,10.4
2016,2,19.28
2016,2,16.01
2016,3,14.86
2017,1,9.78
2016,1,16
2018,3,14.33
2017,1,11.92
2017,1,12
2016,2,11.87
2018,3,11.53
2016,4,7.5
2018,2,17.5
2017,1,12
2017,2,15.83
2018,3,11.44
2018,2,8
2016,1,8.55
2016,2,14
2017,1,15.55
2016,3,18.73
2016,1,27
2017,2,15.41
2016,3,4
2018,1,12.33
2017,2,19.78
2017,3,3.06
2017,2,13.14
2016,3,10
2017,3,12.9
2017,6,6.4
2017,2,16.35
2017,2,37
2016,3,8.44
2016,3,13.97
2017,1,9.62
2017,1,11.38
2018,4,14.71
2016,2,11.9
2016,2,8.5
2017,6,7.84
2017,5,11.18
2018,5,10.94
2016,3,23
2018,4,10.39
2016,3,16.56
2016,1,12.78
2017,1,9.2
2018,2,12.33
2016,1,14
2018,2,14.53
2017,1,12.57
2017,2,19
2017,2,11.41
2016,3,4
2016,4,17.48
2017,1,13.5
2017,3,4.25
2016,2,7.73
2016,1,6
2016,3,14.44
2017,2,11.5
2016,2,15.9
2016,3,15.17
2017,3,12
2017,4,5
2018,6,23.74
2016,3,13.5
2018,3,13.78
2016,2,16.67
2016,2,12
2016,4,9.6
2018,3,13.26
2018,6,10.15
2018,4,1
2016,1,4
2017,1,7
2017,2,14.89
2018,1,13.5
2017,5,11.29
2017,3,10.19
2017,1,13.53
2018,1,10.49
2017,3,16.02
2017,2,10
2017,3,30.9
2018,3,15.12
2016,2,11.86
2016,4,11.68
2016,5,11.42
2016,2,13.81
2017,5,10.25
2016,3,12.56
2017,3,13.12
2017,2,14.04
2018,3,11.33
2017,1,13.07
2017,6,7.65
2016,3,9.5
2016,4,10.26
2017,1,11
2017,2,12.96
2018,5,30
2016,3,39
2016,1,11
2016,5,7.53
2017,3,45.25
2016,2,12.37
2017,4,12.97
2016,3,7
2016,2,15.5
2016,6,7.97
2016,4,13.64
2018,3,9.89
2018,2,13.9
2017,1,24
2016,1,10
2016,1,15.31
2017,4,1
2016,2,11.94
2018,1,14.6
2017,6,9.8
2017,2,9.05
2018,3,7.31
2018,4,6.5
2017,4,9.5
2018,1,15.57
2017,3,11.39
2016,5,10.36
2017,1,11.56
2018,1,4.44
2016,1,13.08
2018,4,9.69
2016,2,74
2017,1,15
2016,6,7.56
2017,1,11.14
2018,1,8
2016,5,9.04
2016,3,9.14
2016,5,7.41
2017,1,11.29
2017,2,13.54
2017,2,12.22
2017,2,4
2017,2,12.36
2017,1,13.58
2017,4,7.03
2016,4,10.52
2016,5,17
2016,3,5
2017,4,7.2
2017,3,10.25
2016,3,10.62
2017,2,11.93
2018,3,13.52
2018,1,15.5
2016,4,11
2017,2,8.33
2016,3,15
2016,3,9.78
2016,2,15.2
2016,4,11.17
2017,2,7
2016,1,12.48
2017,4,1
2018,6,7.06
2016,3,9
2018,4,8.5
2016,5,14.7
2016,1,17.69
2017,1,6.29
2016,3,12.6
2016,2,15.23
2016,4,16.69
2017,1,12.91
2017,2,14.82
2016,4,18
2017,4,13.67
2017,6,6.53
2017,3,5
2016,2,26
2017,3,12.81
2016,2,5.57
2017,1,14.78
2017,2,11.7
2018,4,8.67
2016,3,10.6
2016,6,1
2018,1,23
2018,3,13.94
2017,4,10.27
2016,1,11.73
2016,2,19
2016,3,0.5
2016,5,5
2018,2,4.88
2016,3,13
2016,4,11.86
2017,5,10.6
2017,5,11
2017,4,11.02
2016,3,32
2018,2,10.91
